L_CR_1h_10kWh,L_CR_1h_20kWh,L_CR_1h_30kWh,L_CR_1h_40kWh,L_CR_1h_50kWh,L_CR_1h_5kWh
540.87,849.3,1233.72,1555.56,2346.75,194.445
515.97,811.44,1124.55,1693.44,2138.85,189.63
448.965,979.56,1537.365,2031.68,1995.4,265.2975
548.895,1068.12,1379.655,2353.82,2521.95,281.865
456.63,1119.48,1752.87,1924.72,2111.3,294.6
513.485,888.89,1203.885,1950.38,2049.625,256.7425
345.15,905.06,1277.055,1564.68,2013.375,170.6575
317.86,704.82,1015.77,1520.2,1779.325,172.75
315,661.5,1134,1398.6,1590.75,171.675
261,678.6,817.8,997.6,1247,155.15
256.165,596.78,962.73,1294.9,1323.05,140.75
311.85,532.98,816.48,997.92,1601.775,171.5175
328.9,550.16,932.88,1447.16,1270.75,152.49
358.56,590.96,846.6,1261.6,1709.8,149.4
349.68,714.4,1342.32,1789.76,2049.2,221.84
416.05,942,1083.3,1648.5,2060.625,174.6625
431.08,920.19,1504.635,1774.06,2362.65,194.815
540.87,992.34,1341,1984.68,2302.05,203.385
427.7,800.8,1624.35,1638,2002,218.4
447.45,800.7,1568.43,1827.48,2778.9,240.21
569.205,934.08,1605.45,1654.1,2554.125,228.655
398.65,994.28,1322.58,1800.96,2579.5,206.36
452.925,850.95,1413.675,2122.8,2264.625,260.775
410.865,866.88,1638.945,1715.7,2234.925,239.295
451.47,1045.98,1408.05,2127.72,2078.55,243.615
493.92,943.74,1151.01,2063.88,2557.8,194.04
448.965,1006.77,1414.92,2194.94,1927.375,253.96
449.995,840.65,1780.2,1839.54,2299.425,215.1075
461.54,883.8,1310.97,2042.56,2921.45,235.68
396.98,1009.71,1540.455,1933.12,2524.275,254.585
425.685,674.96,1115.985,1411.28,1994.2,168.74
397.325,732.46,1026.135,1451.1,1796.6,195.2075
349.65,541.8,935.55,1184.4,1527.75,141.75
263.9,649.6,930.9,1160,1508,143.55
334.985,517.96,1021.845,1069.7,1534.175,136.5275
337.365,498.96,807.975,975.24,1658.475,136.08
322.92,699.66,771.42,1447.16,1390.35,156.975
398.4,723.76,846.6,1394.4,1892.4,156.04
436.16,842.24,1252.08,1458.88,1898.8,227.48
361.1,690.8,1012.65,1365.9,2198,209.9875
443.515,829,1467.33,1492.2,1823.8,213.4675
393.36,1037.04,1568.97,2074.08,2391.45,241.38
536.9,1073.8,1405.95,2165.8,2206.75,225.225
518.1,1083.3,1229.31,1884,2001.75,228.435
510.825,1148.14,1474.095,1654.1,2116.275,252.98
497.14,806.68,1505.49,1669.64,2345,269.675
402.6,942.45,1509.75,1592.1,2127.375,258.4875
456.015,1011.36,1625.4,1535.1,2686.425,241.5525
455.94,965.52,1381.23,1609.2,1922.1,205.62
515.97,758.52,1349.46,2010.96,2646,220.5
535.13,997.7,1292.475,1886.56,2086.1,253.96
539.005,919.77,1661.52,2057.12,2521.95,222.525
589.2,1139.12,1531.92,2140.76,2872.35,279.87
418.555,1009.71,1307.445,1933.12,2157.5,183.3875
418.015,690.3,1185.015,1656.72,1955.85,191.75
338.59,614.99,1129.785,1285.26,1589.3,171.0225
371.7,592.2,945,1159.2,1606.5,162.225
319,643.8,1044,997.6,1566,163.85
289.945,636.19,996.51,1002.14,1703.075,157.64
294.84,549.99,910.035,963.9,1573.425,123.3225
272.09,693.68,905.97,1088.36,1689.35,137.54
308.76,783.52,876.48,1208.48,1477.4,200.86
447.44,797.12,1229.52,1293.44,1955.2,178.6
